timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 13:34:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1240 MiB, 40960 MiB
2026/01/22 13:35:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 864 MiB, 40960 MiB
2026/01/22 13:36:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 994 MiB, 40960 MiB
2026/01/22 13:37:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 909 MiB, 40960 MiB
2026/01/22 13:38:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1165 MiB, 40960 MiB
2026/01/22 13:39:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 739 MiB, 40960 MiB
2026/01/22 13:40:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1072 MiB, 40960 MiB
2026/01/22 13:41:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 944 MiB, 40960 MiB
2026/01/22 13:42:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 988 MiB, 40960 MiB
2026/01/22 13:43:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 812 MiB, 40960 MiB
